Location,Crop,Temperature,Rainfall,Soil_Quality,Fertilizer_Used,Pesticide_Used,Previous_Yield,Yield
West,Corn,27.494789198129162,772.622823189915,7.509629114582014,106.51071444823103,9.214775273448412,8.195388678969934,20.360658616018753
Central,Soybean,30.15053988265689,381.9956213541093,4.276634237784391,100.64001698361065,2.847658861447185,8.017987656126952,19.848424648327033
East,Barley,31.820552755148235,456.5585062489514,5.466143612952456,197.3336872744909,5.105933288434015,5.863963553019952,21.350483387207532
Central,Soybean,30.236261937517277,419.5310198156194,7.566641708590263,235.18809925714325,4.90155002338265,5.235101295308027,21.383601907817624
Central,Soybean,22.080098863624855,270.5579552654242,7.54892404635065,295.6261308808619,5.401137674874471,3.4443889681200863,16.922431410423236
South,Barley,34.93452802115466,547.8573211400901,4.8207363811255375,225.3534435593652,9.789631007837995,4.23016789940135,22.510874312782747
East,Soybean,23.690053874386088,1178.9657664519395,5.893006074024905,190.46776656260238,5.6686826182620695,4.709563488989845,19.55319393745782
East,Barley,15.489294055178668,553.8804064636101,9.314698055958726,152.28292943952192,8.470690193792635,8.501742717882069,14.589664308863435
East,Barley,22.25233903170924,660.5366218369757,6.687978444489103,198.7782022431666,6.975433665827956,6.423623759386634,17.482983797064726
Central,Barley,17.555659091476866,853.0872509563752,6.783171631179306,200.20874918817293,1.9647181154485243,3.6073162152884866,16.254305637910775
West,Corn,17.4288523145675,848.4977511691071,8.06158263146824,104.42787346608094,7.260911209844012,2.76662088690649,15.967317089326128
East,Rice,20.630700802137888,1149.8949800186242,2.0370060668437553,217.80214038345085,6.823532482285699,5.973310620642695,16.333088800400652
Central,Corn,16.067509883545217,1057.5641403991253,5.705958624838548,101.10594766610103,7.826220052289761,7.330532811760166,14.90842070300863
South,Barley,28.77024376819126,993.9506871051523,9.634885626438837,172.4887058488398,1.6700366945362233,8.551068902889062,23.398901938230683
West,Rice,16.4797776840381,1151.6272257783107,4.2549435295848905,114.96737815747808,3.1717680396667784,8.37851735323401,15.309505883536216
South,Rice,19.065791108719125,430.7653854831716,3.6543353177988194,128.20025593243776,7.923598207780225,8.593245748382905,13.750966529015457
West,Barley,16.857994289882388,817.0541946217926,6.410871690442819,203.46925499900746,4.335543756193475,5.582778799476864,15.417892539362366
Central,Rice,16.26335461806062,1087.1967667221563,2.990074821087731,66.12127868445006,9.197370611398675,8.92526006274778,13.801803033860905
North,Rice,20.355033310790834,824.1381582781019,6.00350640871284,53.00870383105686,5.659033680709641,5.55686600779437,16.59144773330601
West,Corn,26.4379793532074,1177.4204746068694,2.400868097718765,82.65500238691091,1.0092442021263985,3.344970324678017,19.775983924073
South,Rice,34.293711128936835,300.352713906379,6.21814114628115,92.17674451862439,7.28952366632115,5.179028397114334,21.990571287105148
Central,Barley,32.511133086992125,639.3305027932004,6.421412652806597,99.46824201140848,5.6211757413672,4.720200619907609,22.378942022884395
West,Wheat,32.5186785089065,1177.3629079086363,4.765604311110366,243.48276755361996,3.853849202638596,5.137414668554847,23.799250317466687
North,Wheat,18.52134072075315,579.5680285699258,4.444717828948197,161.71449175946964,1.1839662856288906,7.268954104433813,14.982293932621682
North,Wheat,20.2981438699564,939.5563750993044,3.209124505604044,167.48403346106804,2.788716091827685,7.255332134791606,16.3074873202571
East,Barley,16.527866335906115,230.40290107864917,3.978300770502349,211.08354071388587,2.454345264946619,3.799212155058454,12.723194734323053
East,Wheat,30.5693667983037,894.8371146303131,5.48511370472227,232.27719210321192,6.2456872997814665,4.527444551353617,22.00322587915997
South,Corn,16.39632602971124,1134.6267325275785,3.2289301092619094,50.87708738835901,7.9259861845696555,6.7628391754764055,14.20277081246287
West,Barley,26.133913416417066,582.7062851900027,8.045510170346763,264.18133395129234,3.1114577513238033,2.673027684292066,20.25049652468745
West,Barley,19.957511446479014,221.29983792692946,7.381317171931945,297.1087118185271,7.279508208047934,7.509313569734744,15.461448708625337
East,Barley,19.868912680574894,227.90980439548386,3.4237528043139593,80.45185805960543,9.098418326995056,3.4311384422410676,13.238748758619188
West,Rice,34.8145011049521,1092.023305711089,1.8769164679139319,212.7701459142259,6.594274192100933,8.80568909997479,23.200199929393246
